N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,17,123,121,95,94,0.42333849515248984,0.43917481634810973,0
3,17,671,647,518,497,0.07195415028326638,0.0729839196491737,0
4,17,1599,1533,1146,1133,0.03347266499829728,0.03267288523956764,0
5,17,5472,5232,3571,3398,0.01624986874476525,0.01619176030291332,0
6,17,14939,14917,9141,9209,0.007964067595937213,0.007934124956256918,0
7,17,50750,50072,39952,39828,0.004063261233710088,0.004072249546185758,0
8,17,137656,135989,98789,98319,0.0020974485186816302,0.002109712356977625,0
2,17,83,83,71,70,0.42911971565877444,0.4400648881448709,1
3,17,454,434,331,314,0.07543165182721456,0.07688321564865745,1
4,17,1634,1620,969,970,0.031742760686826174,0.03221281294358658,1
5,17,4966,4990,3004,3005,0.016177463200089393,0.016178187150207465,1
6,17,14322,14327,8715,8719,0.00793037967930569,0.007951954704991255,1
7,17,33205,32938,26523,26466,0.00401653351168093,0.004029439319678286,1
8,17,79385,79167,59777,59719,0.0021556149195594235,0.002109970809132144,1
2,17,96,98,74,72,0.4674564098215238,0.4596660636279883,2
3,17,482,486,322,322,0.07883365150842013,0.07758085695050616,2
4,17,1845,1846,968,970,0.031079200585289055,0.03246207382757989,2
5,17,5185,5159,3003,3004,0.015680479514388494,0.015960162708126592,2
6,17,15152,15095,8714,8717,0.007838859174486429,0.007846635291545279,2
7,17,33047,32977,25983,26051,0.00396936720653079,0.004032556309673829,2
8,17,83235,83278,56988,56852,0.002108569606335548,0.0020696349256700414,2
2,17,92,97,74,73,0.47167939386544366,0.45779607638332426,3
3,17,476,486,316,321,0.07981363924210078,0.07730193122658244,3
4,17,1845,1846,968,970,0.030853172237838098,0.032757967483196565,3
5,17,5185,5159,3003,3004,0.015684584386469996,0.016060326296672433,3
6,17,15154,15097,8714,8714,0.007759231955347434,0.0077911086901798,3
7,17,32965,32804,25937,25922,0.003969613734447611,0.004004013820216298,3
8,17,83211,83232,57036,56944,0.0020719161075257765,0.002040588815346244,3
