N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,23,123,124,95,96,0.4332326704224534,0.43129716360134474,0
3,23,671,662,506,501,0.07224796595519756,0.07428008022743629,0
4,23,1602,1596,1142,1151,0.03373952225143019,0.03294617548197297,0
5,23,5469,5286,3433,3414,0.016447136324751428,0.016203826651367444,0
6,23,15146,14908,9276,8975,0.007986642993851384,0.007921715843659697,0
7,23,50300,49805,39528,39880,0.004092107496876768,0.00406400911494594,0
8,23,137830,136199,98417,98065,0.0020879272392627705,0.0020811245352048155,0
2,23,83,83,70,72,0.4304638657102936,0.4408593998081983,1
3,23,436,446,314,325,0.0771339244977048,0.07592527179114966,1
4,23,1628,1620,969,970,0.032094355289607676,0.03225700484449634,1
5,23,4966,4990,3004,3005,0.016147765303682032,0.016135430813763917,1
6,23,14322,14327,8716,8719,0.007892796930046598,0.007919303099338654,1
7,23,33163,33424,26481,26939,0.004019387033898374,0.0040354812223336815,1
8,23,79385,79167,59831,59701,0.002150000526484397,0.002124064390129753,1
2,23,96,96,74,72,0.46283225523502114,0.4546602855562166,2
3,23,476,486,316,322,0.08022686361042247,0.07865078019047758,2
4,23,1845,1846,968,970,0.030987744903136792,0.032554311933452394,2
5,23,5185,5159,3003,3004,0.015725071444964912,0.01599700088105719,2
6,23,15153,15096,8714,8717,0.00779327750642112,0.007805688371001871,2
7,23,32874,33183,25849,26214,0.0039961570888517265,0.00405018188789695,2
8,23,83241,83270,56976,56868,0.0020542768041701912,0.0020526649287450757,2
2,23,94,97,74,73,0.47226971724105943,0.4715088577617653,3
3,23,476,486,316,322,0.07863036343300919,0.07780674217646716,3
4,23,1845,1846,968,970,0.03116642369513529,0.03251120987030215,3
5,23,5187,5161,3002,3003,0.015441580326933962,0.015685916030753033,3
6,23,15154,15095,8714,8717,0.007825120772788761,0.007824260036034814,3
7,23,32939,32869,25899,25974,0.004036385080475683,0.004047842393311669,3
8,23,83205,83254,57048,56900,0.0021001129643832854,0.002034793628689856,3
