N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,27,132,127,104,99,0.40118857619859827,0.417222203370104,0
3,27,677,668,508,517,0.07368574048229982,0.0731016018362152,0
4,27,1599,1551,1140,1130,0.03363674491062301,0.032619050427170435,0
5,27,5541,5352,3562,3440,0.016286209406874287,0.016187258806133288,0
6,27,15194,14974,9178,9026,0.007977031025037985,0.007915024676280906,0
7,27,50615,49238,39750,39455,0.004013104942433616,0.0040433935733187815,0
8,27,137803,136043,98466,98192,0.002158961742891274,0.0020901300000827905,0
2,27,83,83,73,71,0.4391455139149637,0.43550771273568456,1
3,27,448,434,324,315,0.07599100899271902,0.07762642969167832,1
4,27,1628,1626,969,970,0.0321906516710546,0.03179514406224747,1
5,27,4966,4990,3004,3005,0.016299473605367362,0.01604634221733662,1
6,27,14325,14327,8711,8719,0.007943473606029636,0.007900050214658637,1
7,27,33355,33124,26656,26715,0.004018844423619121,0.004035521647395392,1
8,27,79385,79167,59879,59677,0.002148471530861502,0.002119575841968827,1
2,27,96,95,74,73,0.4715589550701646,0.45980224381814483,2
3,27,476,486,316,322,0.07887249686323154,0.07877691227863323,2
4,27,1843,1846,969,970,0.03157965639645616,0.032732509025634585,2
5,27,5187,5159,3002,3004,0.015377335339481994,0.015979682146561737,2
6,27,15152,15096,8714,8716,0.007837003189123134,0.007830794474386456,2
7,27,33251,32846,26119,25984,0.003962981222224734,0.004061323501019899,2
8,27,83217,83284,57024,56840,0.002080423315846853,0.002036963864282735,2
2,27,96,95,74,73,0.46865721478747024,0.4682488493891349,3
3,27,482,486,322,322,0.07777205791385375,0.0778300269024091,3
4,27,1843,1848,969,969,0.031464500666338935,0.03225970914978625,3
5,27,5187,5159,3002,3004,0.015332691695145728,0.01604031152419979,3
6,27,15152,15096,8714,8717,0.007816212662986613,0.007826261706272103,3
7,27,33324,33377,26169,26328,0.003983275986160895,0.004001213319561492,3
8,27,83225,83224,57008,56960,0.002075943310992104,0.002052893549849482,3
