N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,30,126,124,98,97,0.41881622143610464,0.41988105496176986,0
3,30,653,632,491,470,0.0727295439075744,0.07325574295948367,0
4,30,1575,1566,1133,1147,0.03291116327392955,0.0333442083781281,0
5,30,5346,5316,3421,3395,0.016309830976443764,0.016104017965773494,0
6,30,15221,14878,9198,9313,0.007968196602786286,0.00794876534484749,0
7,30,51089,49583,40141,39318,0.004033044645831907,0.00404864655636341,0
8,30,137998,136064,98721,98049,0.002137594022049212,0.0021075717667147762,0
2,30,83,83,71,71,0.43956385276289445,0.4330310158500602,1
3,30,442,440,320,320,0.0770853784881339,0.07680492417081064,1
4,30,1628,1620,969,970,0.03253536889247699,0.03206606138022685,1
5,30,4966,4990,3004,3005,0.016185226284750748,0.016102992520134675,1
6,30,14346,14327,8727,8719,0.00792670930305455,0.00795190606211267,1
7,30,33115,32788,26431,26269,0.004015706242382851,0.004030848591889855,1
8,30,79385,79167,59789,59629,0.0021419609906042185,0.002116486953056652,1
2,30,96,95,74,73,0.46736136180271676,0.4759372594879929,2
3,30,476,486,316,322,0.07992435409783283,0.07916271904217562,2
4,30,1843,1848,969,969,0.03191639900021286,0.03202999769346132,2
5,30,5187,5159,3002,3004,0.015337349590282576,0.016105292357840438,2
6,30,15152,15096,8714,8717,0.007882988567561647,0.0077449693574795555,2
7,30,33265,33103,26171,26165,0.004045531075916367,0.003981498477052093,2
8,30,83245,83278,56968,56852,0.0020539724021006365,0.0020457730002830903,2
2,30,96,94,74,74,0.46544408701400564,0.46829323819231083,3
3,30,476,486,316,322,0.07973774826351937,0.07804092787283284,3
4,30,1843,1848,969,969,0.03152181299982517,0.03208722126519721,3
5,30,5185,5159,3003,3004,0.015784209307932368,0.016042953830950904,3
6,30,15153,15096,8714,8717,0.007816164199089704,0.007804760747078717,3
7,30,33107,33368,26029,26326,0.003988936213836083,0.004022737329064049,3
8,30,83237,83290,56984,56828,0.002044305100930384,0.0020259981254871894,3
