N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,33,129,124,100,98,0.40778463892802663,0.4322313939708132,0
3,33,677,650,512,508,0.07239373540354324,0.07352499910030336,0
4,33,1614,1548,1143,1141,0.03271040761865694,0.03315073663138227,0
5,33,5337,5385,3412,3477,0.01649491795473823,0.016029592984587303,0
6,33,15089,14848,8994,9094,0.00793271725753461,0.007985069189821128,0
7,33,50576,49850,39958,39713,0.0040430446461854576,0.00405809974315232,0
8,33,137677,135692,98780,97987,0.002207859244745169,0.0021352940788329196,0
2,33,83,83,71,70,0.4351881204545567,0.4287502799145574,1
3,33,442,440,319,320,0.07668342601936562,0.07705571585138488,1
4,33,1628,1620,969,970,0.03216978859340665,0.03226018136919284,1
5,33,4966,4990,3004,3005,0.016135504212303538,0.016136370330705856,1
6,33,14322,14351,8715,8728,0.007920917996979948,0.007940681879439894,1
7,33,33343,32626,26657,26140,0.0040197962582319,0.0040271268173617935,1
8,33,79391,79167,59807,59662,0.002148189824326182,0.0021252355063426103,1
2,33,94,95,74,73,0.4656848443190412,0.46718861941077994,2
3,33,476,480,316,316,0.07997520095726421,0.07918396635901068,2
4,33,1845,1846,968,970,0.030940383738403646,0.03240042271298513,2
5,33,5187,5159,3002,3004,0.015228464125144269,0.016058646523814144,2
6,33,15152,15095,8714,8717,0.007837509796870746,0.007821603744894982,2
7,33,33003,32754,25933,25892,0.003997318513020371,0.0039932614085619374,2
8,33,83251,83284,56956,56840,0.0020453816286304504,0.0020317504634169417,2
2,33,96,94,74,74,0.4726206913253252,0.4693968391909533,3
3,33,482,486,322,321,0.07915599130716004,0.07823924623590275,3
4,33,1845,1848,968,969,0.031117706895866473,0.03193661014881261,3
5,33,5187,5161,3002,3003,0.015395120422678267,0.01560480481933842,3
6,33,15152,15095,8714,8717,0.007855126849434227,0.007808444924365476,3
7,33,32854,33581,25857,26474,0.003952678936144685,0.003981502313455725,3
8,33,83215,83256,57028,56896,0.0020428316457960097,0.0020756112921251476,3
