N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,26,129,127,101,100,0.41218847425787997,0.4134773991272963,0
3,26,656,668,491,500,0.07336418559133359,0.07200742988189582,0
4,26,1605,1563,1145,1142,0.03276310958157955,0.03296782780402521,0
5,26,5400,5334,3432,3352,0.016148458465086103,0.016064471468833857,0
6,26,15050,14935,9242,9116,0.007922970609840423,0.007989994810937845,0
7,26,50432,49754,39582,39664,0.004063581386405962,0.0040621294572916015,0
8,26,138055,135431,99086,97816,0.002120919829274661,0.0021115156764219137,0
2,26,83,83,70,70,0.43955483780706384,0.44072092755311987,1
3,26,448,440,325,321,0.07624529483501083,0.07648513595571721,1
4,26,1628,1620,969,970,0.03230912761377711,0.032316821219200466,1
5,26,4966,4990,3004,3005,0.01609416675812609,0.016075894614257034,1
6,26,14322,14354,8715,8724,0.007913449672162775,0.007910334654366266,1
7,26,33649,33532,27077,27039,0.004023565317790996,0.004028687118626811,1
8,26,79391,79167,59807,59689,0.0021404271605880553,0.002121529089528953,1
2,26,94,97,74,73,0.44532170016565065,0.4685665476663581,2
3,26,482,480,321,316,0.07771797232892233,0.07919137541086316,2
4,26,1845,1846,968,970,0.03114057767149605,0.03268651232731015,2
5,26,5187,5161,3002,3003,0.015364813402325452,0.015692410498978397,2
6,26,15154,15095,8714,8717,0.007776561844731836,0.007800216230467767,2
7,26,33026,32794,25970,25932,0.003997320128740222,0.004044990964802561,2
8,26,83171,83232,57116,56944,0.0020935308134452223,0.0020347534548478576,2
2,26,92,94,74,74,0.4763598245355561,0.4726530433427604,3
3,26,476,480,316,316,0.07963981271283288,0.07923567057479378,3
4,26,1843,1848,969,969,0.03191878020368803,0.03198183458454101,3
5,26,5187,5159,3002,3004,0.01548437756338952,0.016061934297236388,3
6,26,15152,15096,8714,8717,0.007808637241854904,0.007827805688651941,3
7,26,32857,32965,25843,26056,0.004011757171292201,0.004042431318235912,3
8,26,83221,83284,57016,56840,0.0020843368414184323,0.002069069672623921,3
