N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,1,129,124,101,98,0.39804982007680995,0.42733638439376764,0
3,1,674,662,513,521,0.07436819346170809,0.07361024498079588,0
4,1,1593,1560,1144,1138,0.03355260281059416,0.03183568598352142,0
5,1,5259,5388,3357,3394,0.01625634041502963,0.01605888044108935,0
6,1,15170,14752,9382,8967,0.007968139987470499,0.007913990706719137,0
7,1,50360,49991,39805,39631,0.004043949191334339,0.0040252555931688935,0
8,1,137611,135686,98515,97954,0.002127531364072897,0.0021855037637809422,0
2,1,83,83,73,70,0.4353958097532887,0.4309335864978012,1
3,1,436,446,315,326,0.07775183522961027,0.07561218192405264,1
4,1,1628,1620,969,970,0.032434080307579785,0.03229861445335295,1
5,1,4966,4990,3004,3005,0.016094896254607974,0.016126258012093882,1
6,1,14325,14327,8717,8719,0.007925577760454144,0.007960210630840375,1
7,1,33127,33496,26546,27120,0.004018003498211502,0.0040368910981165,1
8,1,79385,79167,59759,59677,0.002153068332100652,0.0021122397519558562,1
2,1,98,94,74,74,0.4716039730346241,0.48100668339833386,2
3,1,482,492,321,327,0.07891413888989124,0.07759466366552192,2
4,1,1845,1846,968,970,0.031057058897867536,0.03245271533720523,2
5,1,5185,5161,3003,3003,0.01575993401325824,0.01574609899299821,2
6,1,15152,15096,8714,8716,0.007829738413311223,0.007819009976114646,2
7,1,33025,32912,25966,26009,0.003979868405198609,0.004003846339598379,2
8,1,83183,83266,57092,56876,0.0020656733858689246,0.0020607370456074683,2
2,1,96,94,74,74,0.45687482477577823,0.47077472211712895,3
3,1,488,486,327,322,0.07787184182120985,0.0785173495124527,3
4,1,1845,1848,968,969,0.030685789972740032,0.03190754493190491,3
5,1,5187,5161,3002,3003,0.015476710846487015,0.01573218025867467,3
6,1,15152,15096,8714,8716,0.007853103916213432,0.007814796536442946,3
7,1,33582,33268,26381,26250,0.00398802202764237,0.004048315760582697,3
8,1,83241,83250,56976,56908,0.0020735400983096005,0.0020421964774877456,3
