N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,4,126,121,98,94,0.424516620930828,0.4362107950457037,0
3,4,659,653,486,508,0.07226981414068562,0.07257441550124913,0
4,4,1590,1560,1142,1140,0.0335830372831377,0.032514954800622366,0
5,4,5337,5286,3344,3354,0.01629692908064396,0.01630838493482565,0
6,4,15038,14764,9082,8958,0.007957776776871652,0.00796644311139136,0
7,4,50465,49904,39552,39635,0.0040762486296062155,0.004031104175764853,0
8,4,136408,135857,98217,98280,0.002174259846969127,0.0020904182008651337,0
2,4,83,83,73,72,0.4347440337784023,0.4317592523743359,1
3,4,442,440,321,321,0.07531617673871642,0.07563840887209441,1
4,4,1628,1620,969,970,0.03217054100800853,0.03213169629821818,1
5,4,4966,4990,3004,3005,0.01618245685176737,0.016093815641787572,1
6,4,14325,14327,8711,8719,0.007918537625506076,0.007921186500881302,1
7,4,33601,34546,26936,28119,0.004014907025514455,0.004039033284136096,1
8,4,79385,79167,59810,59731,0.0021549021301620823,0.0021185703695278755,1
2,4,92,98,74,72,0.46682118978567333,0.4601696536590441,2
3,4,482,486,321,322,0.07875343005774349,0.07889862873626993,2
4,4,1845,1848,968,969,0.030760369363510863,0.032205341429857634,2
5,4,5187,5161,3002,3003,0.015390714252469084,0.015638323501429928,2
6,4,15152,15096,8714,8717,0.007879219376681198,0.007781320603677238,2
7,4,33077,32712,26001,25866,0.003991098384404392,0.004035699388066577,2
8,4,83219,83270,57020,56868,0.002080659809239139,0.002041267236733613,2
2,4,94,98,74,72,0.45942096694348283,0.45724210467519766,3
3,4,476,480,316,316,0.07866390828065066,0.07884523364025328,3
4,4,1845,1846,968,970,0.03104404460096405,0.03246472489748185,3
5,4,5185,5159,3003,3004,0.015727272932990366,0.01598622043002759,3
6,4,15153,15096,8714,8716,0.007791263678497757,0.007765311726431851,3
7,4,32939,32628,25893,25814,0.003996896449798181,0.004069905297058515,3
8,4,83227,83270,57004,56868,0.0020466778021288644,0.0020612287504209416,3
