N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,15,123,124,95,98,0.40682291130608644,0.402302276623236,0
3,15,677,647,529,502,0.07406613473196277,0.07383578165118779,0
4,15,1602,1572,1144,1163,0.03358660903392102,0.03268477106696883,0
5,15,5322,5271,3326,3351,0.016252524672433842,0.016219346674156324,0
6,15,15110,14866,9124,9166,0.007940265218299821,0.007980300261462455,0
7,15,50465,49850,39655,39874,0.004034487024321182,0.004065331606038682,0
8,15,137905,136109,98625,98700,0.0021245858414826934,0.002102928317058235,0
2,15,83,83,70,69,0.4365830172936129,0.42857043717918264,1
3,15,448,440,326,320,0.07535068069320264,0.07561301151369722,1
4,15,1628,1620,969,970,0.032044004033830696,0.03220546830074285,1
5,15,4966,4990,3004,3005,0.016236551847820357,0.01605536638886837,1
6,15,14322,14351,8716,8729,0.00800697288721794,0.007898440966846696,1
7,15,33355,33094,26797,26634,0.004014644069599398,0.004031720531609729,1
8,15,79385,79167,59840,59656,0.002141774685025325,0.0021212868963938133,1
2,15,94,98,74,72,0.4708175932420998,0.46472061636998896,2
3,15,476,480,316,316,0.08006569340887043,0.08021899583959058,2
4,15,1845,1848,968,969,0.031044160244395737,0.03196158205679167,2
5,15,5187,5161,3002,3003,0.015391035811373834,0.01563111727997899,2
6,15,15152,15095,8714,8717,0.00787150116999942,0.007851279642672852,2
7,15,33251,32805,26139,25921,0.0039877399901132385,0.004041182912885151,2
8,15,83231,83290,56996,56828,0.0020467600828311923,0.0020505166939579393,2
2,15,94,97,74,73,0.4691923346374595,0.4730155225490396,3
3,15,482,486,322,321,0.07905568131607221,0.07951551419093819,3
4,15,1843,1848,969,969,0.03174910397735593,0.03217275007555878,3
5,15,5185,5159,3003,3004,0.015724329808245483,0.015960986496564973,3
6,15,15153,15095,8714,8717,0.007822284991093801,0.007808055147777979,3
7,15,33528,32866,26386,25987,0.003976921536455945,0.004014544259012433,3
8,15,83215,83262,57028,56884,0.002066696811780583,0.002044428320871837,3
