N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,18,126,121,98,93,0.41866908501169553,0.4280306663505303,0
3,18,674,668,507,520,0.07292374662752531,0.07332891589337108,0
4,18,1617,1563,1148,1132,0.033076765939969374,0.0331649652895185,0
5,18,5469,5388,3472,3477,0.016246270534487035,0.01610164322230797,0
6,18,15074,14737,9032,9098,0.0079443096678955,0.007907782678180295,0
7,18,50015,49763,39426,39603,0.004022417819077509,0.004036002896057945,0
8,18,138046,136352,98421,98003,0.0020892341082412395,0.002118875701491645,0
2,18,83,83,72,71,0.4409149130508084,0.440821057130378,1
3,18,436,434,314,315,0.0762428212562557,0.07603289092633433,1
4,18,1628,1620,969,970,0.03229966825425144,0.03216944507680468,1
5,18,4966,4990,3004,3005,0.016152086146266932,0.01614710728442857,1
6,18,14325,14327,8711,8718,0.007922068770779462,0.007873044807652815,1
7,18,32851,33358,26190,26952,0.004027279845618639,0.004025806637488175,1
8,18,79391,79167,59855,59713,0.0021470555632058445,0.0021151999418750093,1
2,18,96,94,74,74,0.47422228463143595,0.4803856478789602,2
3,18,476,486,316,322,0.08017571129159941,0.07907302094349015,2
4,18,1843,1848,969,969,0.031728038566149294,0.031810478675710956,2
5,18,5187,5159,3002,3004,0.01547415902675835,0.016025289995379388,2
6,18,15154,15095,8714,8717,0.007754466178607526,0.00782266232081501,2
7,18,32978,32722,25965,25868,0.003975538972977432,0.003962578144199811,2
8,18,83213,83320,57032,56768,0.002056324288956385,0.0020321261309703123,2
2,18,94,95,74,73,0.4697393423199061,0.4685197295726336,3
3,18,488,486,327,322,0.07829409726089503,0.07844606043276531,3
4,18,1845,1846,968,970,0.031281655551130376,0.032784145260716074,3
5,18,5187,5159,3002,3004,0.015299460232558185,0.016067722644417602,3
6,18,15153,15096,8714,8717,0.007777981708129397,0.0078120231284966625,3
7,18,32928,33213,25911,26207,0.004035819564166471,0.0040382051217486255,3
8,18,83269,83270,56920,56868,0.00206201324781312,0.002032521903456167,3
