N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,20,123,124,95,96,0.43820636930211465,0.4331530445069357,0
3,20,680,668,522,525,0.07340616554002757,0.0738728396509683,0
4,20,1599,1545,1148,1130,0.03319158880279659,0.03271178269821648,0
5,20,5469,5454,3544,3456,0.016252516780249693,0.01616276874365269,0
6,20,15011,14707,9107,9106,0.007957952007568317,0.007977890288806223,0
7,20,50369,49661,39679,39393,0.004058351959407534,0.004039291040955573,0
8,20,137566,135692,98400,97967,0.0021085759704692303,0.002079804832149728,0
2,20,83,83,71,71,0.42526672405001337,0.42651737543802665,1
3,20,436,434,315,314,0.07650985751496883,0.0761038152062087,1
4,20,1628,1620,969,970,0.03237244594540507,0.03222533273093645,1
5,20,4966,4990,3004,3005,0.016137286262700813,0.01615528886402474,1
6,20,14322,14351,8717,8728,0.007924581730235775,0.007926200093527914,1
7,20,34561,34114,27883,27653,0.004014175420466487,0.0040358252453452795,1
8,20,79385,79167,59834,59686,0.002148037054013803,0.0021181600966413672,1
2,20,94,95,74,73,0.46457545935260924,0.46037466265757887,2
3,20,482,480,321,316,0.07840831671621112,0.07838953880426763,2
4,20,1845,1848,968,969,0.030970889694661316,0.03207587375833703,2
5,20,5187,5161,3002,3003,0.01542750034113155,0.015820972220135267,2
6,20,15154,15095,8714,8717,0.00777846349685713,0.007824066398904029,2
7,20,32841,32774,25840,25906,0.004027464711907928,0.004066783684958918,2
8,20,83245,83306,56968,56796,0.0020847027589409885,0.0020690223918582193,2
2,20,98,94,74,74,0.46755055900340525,0.4681847480591061,3
3,20,476,486,316,322,0.07965690937924912,0.07801194475948849,3
4,20,1843,1846,969,970,0.031474610061158856,0.032546990062481615,3
5,20,5187,5159,3002,3004,0.015477312051213993,0.015978004896519057,3
6,20,15153,15095,8714,8717,0.007772395789184036,0.007858535452735379,3
7,20,33059,32985,25991,26061,0.004055618037526476,0.003972629106648749,3
8,20,83233,83286,56992,56836,0.002023306415869467,0.002059937491639685,3
