N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,5,126,121,98,94,0.4240557396415959,0.44494520774535584,0
3,5,653,668,483,527,0.07419482552752278,0.07227761924417887,0
4,5,1614,1548,1147,1135,0.03305653147199252,0.03303692274501779,0
5,5,5466,5379,3422,3400,0.016235873998016275,0.016279518857218553,0
6,5,15041,14803,8968,9075,0.00795842966062776,0.007943092086215024,0
7,5,50858,49244,39795,39345,0.004065453858966771,0.004050172180483201,0
8,5,137617,136610,98544,98801,0.002130291169648158,0.0021194314895661495,0
2,5,83,83,70,71,0.4294442068763106,0.4351599694974211,1
3,5,442,440,321,320,0.07624237686757966,0.07623102527005657,1
4,5,1628,1620,969,970,0.03215654171610103,0.03203245938938826,1
5,5,4966,4990,3004,3005,0.016098180181246,0.016133049525049604,1
6,5,14322,14327,8715,8718,0.007990000249194627,0.007912488797092016,1
7,5,34015,34468,27452,27983,0.004024066093036214,0.00402917140054568,1
8,5,79385,79167,59810,59695,0.0021467236329328287,0.0021191446601899573,1
2,5,96,96,74,74,0.4689974584317152,0.4622892094257692,2
3,5,482,480,321,316,0.07858437767801063,0.08003012799493389,2
4,5,1845,1848,968,969,0.03095336383325259,0.03212190485256753,2
5,5,5185,5159,3003,3004,0.01560785124539031,0.016041230926794284,2
6,5,15153,15096,8714,8717,0.007766546042669985,0.007807863767880669,2
7,5,33032,32697,25959,25848,0.0039577365432957225,0.00406815551418421,2
8,5,83217,83218,57024,56972,0.002080451343901516,0.0020384917904156153,2
2,5,96,96,74,72,0.4605840853336461,0.473005901505099,3
3,5,482,480,321,316,0.07862973608420451,0.07943315484829669,3
4,5,1843,1846,969,970,0.031534569175395905,0.03283810071524616,3
5,5,5187,5159,3002,3004,0.015376810323934585,0.016042298191874534,3
6,5,15152,15097,8714,8714,0.0078194096168904,0.007845667361071638,3
7,5,33120,32793,26050,25915,0.0040045422950855504,0.003993699128795974,3
8,5,83233,83280,56992,56848,0.0020775718051352808,0.0020621975478941593,3
