N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,34,126,124,98,96,0.41793487982606403,0.43424376687614086,0
3,34,671,653,505,498,0.07305286056429937,0.0739149689148138,0
4,34,1599,1563,1144,1141,0.033542120140271026,0.03287839251695997,0
5,34,5424,5388,3477,3423,0.01624090720812079,0.01610483982697162,0
6,34,15026,14836,9155,9128,0.007952547217275908,0.007920974494945936,0
7,34,50447,50075,39891,39677,0.0040314198589009925,0.004027987619997451,0
8,34,138091,136343,98966,98308,0.002077974725361764,0.0021308988607732582,0
2,34,83,83,72,71,0.43424604840083514,0.4360077371129716,1
3,34,436,440,314,320,0.0761979367872844,0.07613891460362143,1
4,34,1628,1620,969,970,0.03227218411504571,0.032086415484248926,1
5,34,4966,4990,3004,3005,0.016232751886868003,0.0160543182038391,1
6,34,14346,14330,8725,8716,0.007917009863540464,0.007924857889931625,1
7,34,33559,33706,26915,27325,0.004016286052112201,0.0040370742446103015,1
8,34,79385,79167,59825,59665,0.0021432894473296217,0.002124045971527288,1
2,34,96,94,74,74,0.45812776539264144,0.4694596322109118,2
3,34,476,486,316,322,0.07990480189917099,0.0785743619319595,2
4,34,1843,1848,969,969,0.031503180318392346,0.03204620328105372,2
5,34,5185,5161,3003,3003,0.015637642105297042,0.015757517331479284,2
6,34,15154,15097,8717,8716,0.007816190791880511,0.007825475686221764,2
7,34,33176,32846,26084,25950,0.003999807241752798,0.004041626301703967,2
8,34,83217,83264,57024,56880,0.002047380788511298,0.0020260589949926337,2
2,34,94,95,74,73,0.4688214147391755,0.461571272615265,3
3,34,482,480,321,316,0.07864656383961546,0.07968419101391845,3
4,34,1845,1848,968,969,0.030806119334199838,0.03219357255471005,3
5,34,5185,5161,3003,3003,0.015700533529791415,0.015689277512276976,3
6,34,15153,15096,8714,8717,0.00781360940391019,0.007792496016429944,3
7,34,32977,32777,25939,25908,0.004042205747921859,0.004004403575187342,3
8,34,83185,83290,57088,56828,0.0020425457072404426,0.0020609488951534435,3
