N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,8,126,124,98,97,0.42418873278722385,0.42853749190965024,0
3,8,671,662,518,526,0.07447136491786875,0.07300883173491618,0
4,8,1596,1536,1137,1134,0.03287801401734784,0.032642865588769394,0
5,8,5547,5385,3458,3357,0.016202026144471613,0.01629267952201386,0
6,8,15053,14893,9211,9042,0.007996666135591926,0.007927810398640548,0
7,8,50501,49568,39537,39507,0.0040370103291752085,0.004084754655395476,0
8,8,137341,136313,98680,98481,0.0020805785827035716,0.002076028981797181,0
2,8,83,83,72,71,0.4412641802251721,0.4289824997396684,1
3,8,436,440,315,321,0.07687528335859398,0.075857189423442,1
4,8,1628,1620,969,970,0.03222065601629817,0.03221903770595001,1
5,8,4966,4990,3004,3005,0.016045359215311968,0.016120140413247268,1
6,8,14322,14330,8717,8719,0.007941095676755976,0.007918646667919353,1
7,8,33361,33976,26781,27458,0.0040214598719911995,0.004030301268762439,1
8,8,79385,79167,59765,59746,0.0021434488786053335,0.00212530056431085,1
2,8,96,96,74,74,0.47475077999929877,0.46749603022826247,2
3,8,482,486,322,322,0.07895419156461464,0.0786246622550928,2
4,8,1845,1848,968,969,0.031208293528227588,0.031851484878845926,2
5,8,5185,5159,3003,3004,0.015661657014520297,0.016008150597116785,2
6,8,15153,15095,8714,8717,0.007799895659525965,0.007839835891255344,2
7,8,33063,33142,26008,26204,0.003997500803129112,0.004077396770940479,2
8,8,83245,83262,56968,56884,0.0020564979284319156,0.0020683779231501767,2
2,8,96,96,74,72,0.46306857614018215,0.46318890717969957,3
3,8,482,480,321,316,0.07820987252438558,0.07936883887543064,3
4,8,1843,1846,969,970,0.03179911657030121,0.03253860503086804,3
5,8,5187,5161,3002,3003,0.015412662033762806,0.015769337515073003,3
6,8,15154,15095,8714,8717,0.007827588722730322,0.007816510131215041,3
7,8,32870,33806,25866,26699,0.003974597378207365,0.004081158935175034,3
8,8,83245,83294,56968,56820,0.002088853412436264,0.002055063729994912,3
