N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,35,123,127,95,99,0.42900031650892195,0.40354535330454117,0
3,35,671,665,499,511,0.07342165717344287,0.07134254780289802,0
4,35,1572,1563,1131,1143,0.03308706829377568,0.03262992694522085,0
5,35,5361,5409,3414,3390,0.016279789763581423,0.016096933575657328,0
6,35,15179,14674,9176,9105,0.007962755452734326,0.007974260961473738,0
7,35,50681,49667,39748,39481,0.004058115236120532,0.004045867750948076,0
8,35,138031,136199,98737,98062,0.0021744384653817157,0.002123036303913771,0
2,35,83,83,72,70,0.43895943654343333,0.43250581709418795,1
3,35,436,440,314,321,0.07651665540380581,0.07583986366053902,1
4,35,1628,1620,969,970,0.03230820565512403,0.032310254341873804,1
5,35,4966,4990,3004,3005,0.01616857901354389,0.016090959489677138,1
6,35,14322,14327,8715,8719,0.00791337032077746,0.007913064651422322,1
7,35,33043,32998,26390,26489,0.004017216374229242,0.004046127433703995,1
8,35,79385,79167,59837,59701,0.0021403621333438987,0.002124160955980652,1
2,35,94,95,74,73,0.4718170695918012,0.4689163563069997,2
3,35,482,480,322,316,0.07864441613596863,0.07960989150279381,2
4,35,1843,1848,969,969,0.0314120325088362,0.032194903066845436,2
5,35,5187,5161,3002,3003,0.01530594010929057,0.015718996864866358,2
6,35,15154,15096,8714,8716,0.0077892791979443324,0.007800592406002286,2
7,35,33069,32855,26037,25960,0.0039806274025649836,0.0040394684366634155,2
8,35,83271,83318,56916,56772,0.002040377447522667,0.002069263930105612,2
2,35,92,95,74,73,0.43001676746382567,0.4321223937960352,3
3,35,482,486,322,322,0.07887758365850384,0.07884973287326626,3
4,35,1843,1846,969,970,0.031820935769509305,0.03271338430549916,3
5,35,5187,5159,3002,3004,0.01545583546210365,0.01607781315051207,3
6,35,15152,15096,8714,8716,0.007839217622553058,0.007822990317525171,3
7,35,33206,32848,26137,25965,0.004013239370096782,0.004033134908939194,3
8,35,83219,83272,57020,56864,0.00211231833755841,0.002049143327460976,3
