N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,19,123,124,95,98,0.4205834208513448,0.43694811619250085,0
3,19,683,656,526,501,0.0737821804338655,0.07325039652629815,0
4,19,1617,1566,1149,1144,0.03303573022219591,0.03321450742201262,0
5,19,5523,5352,3482,3411,0.016317988293195772,0.015998183071102096,0
6,19,14987,14770,9261,9022,0.007966814466996257,0.00791072248111798,0
7,19,50900,49991,39740,39935,0.004044841329786459,0.0040384785889487655,0
8,19,137593,135917,98521,98109,0.002116136413134147,0.0020841682477320917,0
2,19,83,83,71,70,0.4328011211544373,0.431232380275119,1
3,19,436,434,315,315,0.07658602365082098,0.07674186066432431,1
4,19,1628,1620,969,970,0.0321667715610867,0.03234479070952831,1
5,19,4966,4990,3004,3005,0.01606819581100282,0.016172218991709397,1
6,19,14322,14327,8716,8719,0.007914722671072204,0.007964545259485025,1
7,19,33637,33256,27049,26751,0.004008776523246208,0.004049059153256693,1
8,19,79385,79173,59846,59737,0.0021443769359398564,0.002125098854980002,1
2,19,96,97,74,73,0.46390501065982515,0.47629202176031243,2
3,19,482,480,322,316,0.07890160689270827,0.07903488599102804,2
4,19,1843,1846,969,970,0.0315894932810913,0.03265928440692391,2
5,19,5185,5159,3003,3004,0.015682951789582913,0.015950959331243658,2
6,19,15152,15096,8714,8717,0.007838677757087631,0.007795835411929553,2
7,19,33991,32758,26668,25888,0.003962489028634672,0.004059758541411499,2
8,19,83247,83260,56964,56888,0.002081685037752491,0.0020456834031610874,2
2,19,96,95,74,73,0.45972193684398355,0.4609183429299995,3
3,19,476,486,316,321,0.08024420680435192,0.07818452616893733,3
4,19,1843,1848,969,969,0.03161200567644322,0.03226455616146039,3
5,19,5187,5159,3002,3004,0.015490269382206033,0.016074774659697873,3
6,19,15152,15095,8714,8717,0.007872306431364209,0.007820058435921927,3
7,19,33346,33008,26207,26071,0.004024963285651418,0.004014678646083058,3
8,19,83201,83312,57056,56784,0.002073537686722301,0.0020327221085136332,3
