N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,21,126,127,98,100,0.4204354617010963,0.3858053882531025,0
3,21,683,650,503,497,0.07377887661963618,0.07400390704481878,0
4,21,1602,1554,1142,1138,0.03304147577067909,0.03314125159487451,0
5,21,5538,5370,3444,3480,0.01621395347742864,0.016379316817716538,0
6,21,15038,14863,9204,9119,0.007948441331631877,0.0079317272639538,0
7,21,50732,49793,39881,39708,0.00406295656003248,0.004099677686062523,0
8,21,137074,136553,97942,98738,0.0021232234366406226,0.0020956169900599128,0
2,21,83,83,71,70,0.4352269544913834,0.43426029592776544,1
3,21,442,440,320,321,0.07597351583371277,0.07622326079571856,1
4,21,1628,1620,969,970,0.032510374851202395,0.03208549249128444,1
5,21,4966,4990,3004,3005,0.016131198885071567,0.016099484104326905,1
6,21,14325,14351,8711,8729,0.007962562748540297,0.007909308850568278,1
7,21,32899,33058,26212,26622,0.004025401693994809,0.004030164111909825,1
8,21,79385,79167,59771,59653,0.0021384275708222662,0.0021226128218895784,1
2,21,96,97,74,73,0.4742702585000759,0.4657071318186051,2
3,21,488,486,327,321,0.07742877623094077,0.07849478821001066,2
4,21,1843,1846,969,970,0.03162940606795557,0.03286321708017495,2
5,21,5185,5161,3003,3003,0.015739632040134087,0.015744016304347914,2
6,21,15154,15096,8714,8717,0.007807058082474078,0.007829346539402964,2
7,21,33230,32856,26113,25960,0.004042694246439087,0.004009199675793308,2
8,21,83281,83232,56896,56944,0.0020528445822967627,0.002044685328127027,2
2,21,96,97,74,73,0.45730323150151897,0.45864705066652817,3
3,21,482,486,321,321,0.07794016543752774,0.07812869221160651,3
4,21,1843,1846,969,970,0.03166389888395921,0.03259127244565823,3
5,21,5185,5161,3003,3003,0.015679576894684417,0.015656567551099194,3
6,21,15152,15096,8714,8717,0.007800267359378213,0.007830641840783876,3
7,21,33036,32669,25991,25840,0.0040072869672387115,0.003992814770121438,3
8,21,83233,83246,56992,56916,0.0020996601125541975,0.002020502922981288,3
