N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,25,126,124,98,97,0.4068139100150995,0.4058810632299216,0
3,25,677,659,516,513,0.07378803201474012,0.07231112919514274,0
4,25,1605,1569,1143,1131,0.03269489220890965,0.032663718054296825,0
5,25,5436,5271,3434,3413,0.016316039117437155,0.016166570768374227,0
6,25,15101,14896,9314,9354,0.007941841025460743,0.007908163972829351,0
7,25,49949,50333,39433,39874,0.0040094048945870184,0.004027215344281653,0
8,25,137434,136037,98172,98161,0.0021693575589997343,0.002108217563257206,0
2,25,83,83,70,68,0.43109563881331087,0.4374954280493123,1
3,25,442,428,320,309,0.07680723425948782,0.07770375355667293,1
4,25,1628,1620,969,970,0.032239945899479934,0.0323030822759924,1
5,25,4966,4990,3004,3005,0.01615116471804449,0.016100967552185968,1
6,25,14322,14327,8715,8719,0.007893425618116692,0.00794547134595806,1
7,25,33415,35224,26769,28817,0.004021131006462132,0.004035625344674778,1
8,25,79385,79197,59792,59694,0.002144461822803144,0.0021157405485565566,1
2,25,94,95,74,73,0.45557437013230767,0.45711257345187084,2
3,25,482,492,321,327,0.07922518500736227,0.07775918470735828,2
4,25,1845,1848,968,969,0.031117164379864167,0.0320049800651167,2
5,25,5185,5159,3003,3004,0.015639889724592355,0.016012379476344527,2
6,25,15152,15096,8714,8716,0.0078626514115036,0.007794495814191474,2
7,25,32889,33186,25864,26187,0.004016005731239562,0.004026933082792205,2
8,25,83233,83284,56992,56840,0.002086379786743902,0.002036068651315917,2
2,25,98,95,74,73,0.4678435926995207,0.46559688315204134,3
3,25,482,486,322,322,0.07787722372592404,0.07774005383518434,3
4,25,1845,1848,968,969,0.03096298117658499,0.03186062849180953,3
5,25,5187,5161,3002,3003,0.01529666294056514,0.015660669447922996,3
6,25,15153,15096,8714,8717,0.007809920836129234,0.007835389750411358,3
7,25,32958,32936,25941,26029,0.003952735503455666,0.004017033885108646,3
8,25,83225,83288,57008,56832,0.002057594666296865,0.002023673163135255,3
