N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,16,123,124,95,96,0.4330538468165808,0.4200653960307412,0
3,16,683,671,522,520,0.07308232022905375,0.07227905728654614,0
4,16,1596,1566,1130,1152,0.032683978588502784,0.03300902115481406,0
5,16,5547,5328,3455,3381,0.01615407762276579,0.01620644991004722,0
6,16,15137,14683,9046,8980,0.007936690822110664,0.007963094779444835,0
7,16,50651,49964,39849,39638,0.004030904951274533,0.0040614935464249255,0
8,16,138064,135929,98684,98037,0.0021446848106897896,0.0020727412588222574,0
2,16,83,83,71,69,0.4404327318244049,0.44341958047226177,1
3,16,442,440,320,321,0.07673229774299173,0.07647625371056861,1
4,16,1628,1620,969,970,0.03256480206899664,0.03216414483850641,1
5,16,4966,4990,3004,3005,0.016089388872337566,0.016146011299118357,1
6,16,14325,14327,8714,8718,0.007971546934037642,0.007878835464908078,1
7,16,33661,32740,27058,26249,0.00400735308466737,0.004041628226809044,1
8,16,79385,79173,59810,59698,0.002142216821577888,0.002117044666920202,1
2,16,94,95,74,73,0.4602867293981008,0.46079099718974853,2
3,16,476,486,316,322,0.07892942050571691,0.07827807839988865,2
4,16,1845,1848,968,969,0.030922563019838586,0.032192801337888904,2
5,16,5187,5161,3002,3003,0.015453507111136255,0.015715957706515113,2
6,16,15152,15095,8714,8717,0.00783456776961107,0.007827687119860654,2
7,16,33278,32767,26134,25925,0.003974495362758563,0.004000944956876109,2
8,16,83217,83240,57024,56928,0.0020596497019152718,0.0020452679030800395,2
2,16,98,96,74,74,0.4632455173816418,0.4664084299442791,3
3,16,476,486,316,322,0.07948666729527129,0.07832151337923049,3
4,16,1843,1846,969,970,0.031459006574146325,0.032696457521486144,3
5,16,5185,5159,3003,3004,0.015687766069534186,0.01599047556729359,3
6,16,15154,15095,8714,8717,0.0078034929130932195,0.007843903029837125,3
7,16,33102,32901,26025,26023,0.004026511318765133,0.004058828502092459,3
8,16,83203,83264,57052,56880,0.0020838523570455483,0.0020439580570567172,3
