N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,28,129,121,100,94,0.40051387584141473,0.4249324685842816,0
3,28,686,677,513,525,0.07339695746694261,0.07432227802497052,0
4,28,1602,1578,1139,1158,0.03306514336203035,0.033102131160038115,0
5,28,5427,5394,3390,3465,0.016260554708202486,0.01611209941753524,0
6,28,15143,14647,8936,8991,0.007990228552895468,0.007941957891417592,0
7,28,50597,50108,39739,39704,0.004024889141744592,0.004032746785866865,0
8,28,137164,136373,98784,97830,0.002144987461418841,0.002059481607728504,0
2,28,83,83,70,72,0.43466626399473174,0.4406754796384021,1
3,28,442,440,319,320,0.07604953325151603,0.07630892294406638,1
4,28,1628,1620,969,970,0.032234580868972074,0.032002340103336926,1
5,28,4966,4990,3004,3005,0.016260213294993803,0.01615017978551568,1
6,28,14346,14327,8726,8719,0.007967761083629836,0.007946212882117455,1
7,28,33079,33298,26427,26844,0.004023511977552619,0.004023530712185081,1
8,28,79385,79173,59852,59689,0.0021450871791715976,0.002130952640680135,1
2,28,94,94,74,74,0.4640890802972899,0.4672087022787042,2
3,28,482,480,322,316,0.07957269637167631,0.07926163701054328,2
4,28,1843,1846,969,970,0.03168680801558456,0.03245750364575601,2
5,28,5187,5161,3002,3003,0.015421516830427907,0.015626907299423627,2
6,28,15154,15095,8714,8717,0.007795560706303361,0.00783661419102584,2
7,28,33071,32882,26016,26018,0.0039803894976864675,0.0040479140980749775,2
8,28,83237,83322,56984,56764,0.002102870246040888,0.0020741423997217836,2
2,28,96,98,74,72,0.45698946413460395,0.4545258864074476,3
3,28,482,480,322,316,0.07843529097738597,0.0793890553469425,3
4,28,1845,1848,968,969,0.03085576391297456,0.03205902016057951,3
5,28,5185,5161,3003,3003,0.01572731273697035,0.01578259899035711,3
6,28,15153,15096,8714,8717,0.007810394464459322,0.007820829370239223,3
7,28,33061,33103,25977,26131,0.004008249107376014,0.004004798787254999,3
8,28,83241,83270,56976,56868,0.0020819594692177237,0.002028505072351673,3
