N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,31,126,127,98,100,0.42827668897485854,0.4179881385665451,0
3,31,674,653,517,504,0.07311363041502726,0.07271593791948527,0
4,31,1611,1578,1148,1147,0.032633482304714266,0.03300415486213198,0
5,31,5511,5409,3516,3408,0.016246072355326113,0.01625803419793177,0
6,31,15104,14833,9055,9016,0.007979315436078983,0.00796884250325161,0
7,31,50930,49433,40007,39401,0.004059126467641448,0.004048014880568504,0
8,31,137974,136484,98629,98055,0.0021111357946627155,0.0021264972558695623,0
2,31,83,83,73,69,0.42796224847519704,0.43803588368718455,1
3,31,436,440,315,321,0.07678372402129685,0.07659496117988568,1
4,31,1628,1620,969,970,0.03204950298218871,0.032387809021604826,1
5,31,4966,4990,3004,3005,0.016125154275071586,0.016113880389895162,1
6,31,14322,14330,8715,8719,0.007911969729021104,0.007949295974473726,1
7,31,33667,33562,27001,27217,0.004021287436081343,0.004030373474352771,1
8,31,79385,79167,59798,59662,0.002153529914198935,0.002127673848964734,1
2,31,96,96,74,72,0.4688038439449661,0.45803552501412415,2
3,31,482,486,321,322,0.07901056603867426,0.07807388502442039,2
4,31,1843,1846,969,970,0.03149479763383688,0.03263323125084029,2
5,31,5187,5159,3002,3004,0.015232690197140358,0.016068491858164963,2
6,31,15152,15096,8714,8716,0.007890025014031698,0.007770387105194929,2
7,31,33020,32721,25944,25868,0.004006699365559719,0.004023191313731014,2
8,31,83251,83246,56956,56916,0.00208096642472824,0.002046471862815093,2
2,31,92,97,74,73,0.4672049457879656,0.45534600524371777,3
3,31,488,480,326,316,0.07847707786960831,0.07834297162794121,3
4,31,1843,1846,969,970,0.03148215976925856,0.03255512763769823,3
5,31,5187,5159,3002,3004,0.015324434015379454,0.016052875930004394,3
6,31,15152,15096,8714,8717,0.007843542193488085,0.007811691845805529,3
7,31,32924,32721,25890,25867,0.004006144414435347,0.004016870699973625,3
8,31,83203,83302,57052,56804,0.0020498605884839943,0.0020358519933812314,3
