N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,12,123,121,95,94,0.4305173543746578,0.44914027734738177,0
3,12,659,656,492,512,0.072656336493323,0.07390772485420521,0
4,12,1602,1551,1155,1133,0.033222209752284945,0.03281022603113749,0
5,12,5463,5391,3491,3400,0.01635267267777351,0.016141857529236085,0
6,12,15137,14782,9227,8976,0.007958865816306273,0.007918715819308567,0
7,12,50630,49502,39753,39357,0.004026754751229033,0.004045002947580333,0
8,12,138211,136577,98778,98375,0.002154714932336615,0.0021084937410281697,0
2,12,83,83,71,73,0.4345113461448933,0.4299464420578426,1
3,12,442,434,321,314,0.07654944430798785,0.07728063070603493,1
4,12,1628,1620,969,970,0.03217408442181219,0.03219664890600685,1
5,12,4966,4990,3004,3005,0.016122242813252786,0.016052598926714526,1
6,12,14322,14327,8715,8718,0.007914695781688174,0.007922014489191755,1
7,12,34051,35140,27521,28716,0.00402606092787059,0.004031122668414675,1
8,12,79385,79167,59843,59728,0.002143689236179643,0.002122809123066091,1
2,12,94,95,74,73,0.45331285108356445,0.45972659715424236,2
3,12,482,486,321,322,0.07817179128700008,0.07794764061834614,2
4,12,1843,1846,969,970,0.03165171891899932,0.03251694329214293,2
5,12,5187,5161,3002,3003,0.0154892042630131,0.01572889068739297,2
6,12,15154,15096,8714,8717,0.007839928557007178,0.00780604580614524,2
7,12,33562,32735,26340,25868,0.003944226782412825,0.0039939967369454436,2
8,12,83223,83230,57012,56948,0.0020757466480667863,0.0020476267724211803,2
2,12,94,94,74,74,0.46606661337342575,0.4748851587984415,3
3,12,476,486,316,322,0.07892721035780108,0.07778947077221997,3
4,12,1845,1846,968,970,0.03086887468373524,0.032662389447480705,3
5,12,5185,5159,3003,3004,0.0157306849538371,0.01597270574352959,3
6,12,15153,15095,8714,8717,0.007846897346580062,0.007810763581797888,3
7,12,33133,32704,26041,25881,0.004023622043169947,0.004038434031981268,3
8,12,83233,83216,56992,56976,0.002097708192697871,0.002037348074059562,3
