N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,10,123,124,95,98,0.42895737247341426,0.4189555035692603,0
3,10,674,668,519,522,0.0741608914857951,0.0729799388749211,0
4,10,1623,1557,1158,1134,0.03311844385285997,0.033573155344433295,0
5,10,5514,5352,3624,3353,0.016270528394290072,0.01610219993283747,0
6,10,15137,14791,8992,9131,0.007979782737525198,0.007896223561138536,0
7,10,50483,49796,39672,39408,0.0040224860790101956,0.004013256219777236,0
8,10,138028,136109,99112,98006,0.002149166255559251,0.002153213127686166,0
2,10,83,83,71,69,0.43851559612006596,0.42709893078974004,1
3,10,442,440,320,320,0.07607623088178633,0.07658588411489749,1
4,10,1628,1620,969,970,0.03239015964948627,0.032136841029319185,1
5,10,4966,4990,3004,3005,0.016181291149429247,0.016113018331828446,1
6,10,14346,14351,8726,8729,0.00793095577995778,0.007907716617489062,1
7,10,33031,32908,26420,26395,0.0040155861858367755,0.004040066969974622,1
8,10,79385,79173,59810,59641,0.0021472036872038454,0.002117720199742614,1
2,10,92,94,74,74,0.47727461655577263,0.47264615361548556,2
3,10,482,486,321,322,0.07897021639337268,0.07871673300479934,2
4,10,1843,1846,969,970,0.0315934162591904,0.032516074074637295,2
5,10,5187,5159,3002,3004,0.015262297575738416,0.01604152033893102,2
6,10,15154,15095,8717,8717,0.007829737671689811,0.007847272464909849,2
7,10,32898,32785,25876,25912,0.00401148003300109,0.004048770275390801,2
8,10,83241,83248,56976,56912,0.0020632415201802838,0.002037846947933732,2
2,10,98,97,74,73,0.46245062287851013,0.4642455342540393,3
3,10,482,492,322,326,0.07914621955627552,0.07798435843586503,3
4,10,1843,1846,969,970,0.03152634893209256,0.032637288585066274,3
5,10,5187,5161,3002,3003,0.015397938589723065,0.0158001756931698,3
6,10,15154,15096,8714,8716,0.007816881010658408,0.007801707120696657,3
7,10,32916,33106,25886,26144,0.0039713846797074575,0.004047910467432922,3
8,10,83233,83254,56992,56900,0.0020942027110968705,0.0020298075976289062,3
