N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,29,129,124,101,97,0.40045811353860095,0.41630653467974277,0
3,29,662,659,504,490,0.07421975651095557,0.07312626029094643,0
4,29,1596,1569,1142,1141,0.032368347091668394,0.03347145026857205,0
5,29,5409,5325,3493,3371,0.016246421959337412,0.0162582601239055,0
6,29,15035,14905,9090,9136,0.007954505285454931,0.007950113716313519,0
7,29,50414,49529,39582,39569,0.004053086548602675,0.004081516252012587,0
8,29,138346,136427,99082,98774,0.0021035339744791205,0.002091606498172249,0
2,29,83,83,71,73,0.4401620646170429,0.44724484040560186,1
3,29,436,428,315,309,0.07625223854412472,0.07861007445717066,1
4,29,1628,1620,969,970,0.03223193943493381,0.03215760846634298,1
5,29,4966,4990,3004,3005,0.01612104463555468,0.01605679524280761,1
6,29,14325,14327,8717,8719,0.007879787561667628,0.007979993841330763,1
7,29,33607,32692,26996,26179,0.004004849533437748,0.004042882297122015,1
8,29,79391,79173,59804,59644,0.002141942148622031,0.002120659017410669,1
2,29,98,97,74,73,0.4657936327165859,0.4602201723446291,2
3,29,488,480,327,316,0.07859291632152546,0.07984123858362063,2
4,29,1843,1846,969,970,0.031613300715076995,0.03237224869953352,2
5,29,5185,5161,3003,3003,0.015623297259191947,0.015723720623643446,2
6,29,15152,15095,8714,8717,0.007846354078440339,0.007835191654466878,2
7,29,33213,32807,26080,25952,0.004013438110086023,0.00401437370985687,2
8,29,83247,83240,56964,56928,0.002090085582927652,0.002032469023937362,2
2,29,96,94,74,74,0.46374972148419025,0.47364893299983735,3
3,29,482,480,322,316,0.07800434712065671,0.07853859861304496,3
4,29,1843,1848,969,969,0.0317196217758489,0.03198169771978822,3
5,29,5187,5159,3002,3004,0.015424185642041056,0.01595994066264675,3
6,29,15153,15096,8714,8717,0.007826524288606605,0.007789443932492521,3
7,29,33321,33075,26159,26132,0.003991722604057713,0.004001874799844422,3
8,29,83249,83266,56960,56876,0.0021078395561386796,0.0020256400616396773,3
