N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,14,126,127,98,99,0.42010100889395185,0.40103930145827665,0
3,14,683,659,519,517,0.07291134526643375,0.07393064070467742,0
4,14,1602,1563,1145,1142,0.03325181283457333,0.033073217849669094,0
5,14,5517,5406,3447,3499,0.016104654667586066,0.016194561659172515,0
6,14,15086,14971,9058,9243,0.00793045533939026,0.007963084366550351,0
7,14,50480,50057,39774,39772,0.004004973403896103,0.0040581277351879365,0
8,14,137506,135908,98345,98315,0.0021110243446348736,0.0020999026671693352,0
2,14,83,83,70,70,0.4361364177358965,0.43743098925673135,1
3,14,430,446,309,326,0.07728203407773954,0.07546790376791969,1
4,14,1628,1620,969,970,0.03222171003154711,0.032148554475829746,1
5,14,4966,4990,3004,3005,0.016258456406036126,0.016090640909358363,1
6,14,14322,14327,8717,8718,0.007954649718570898,0.007925336550548341,1
7,14,34909,32890,28396,26395,0.004008062407074194,0.004041147186452923,1
8,14,79385,79167,59834,59629,0.002144659432010395,0.0021174584942101294,1
2,14,96,95,74,73,0.45958827180387857,0.45544822911327687,2
3,14,482,480,321,316,0.07843859649037421,0.07902221159138802,2
4,14,1843,1848,969,969,0.03174836467219584,0.032046097592057655,2
5,14,5187,5159,3002,3004,0.015256981123924897,0.01601129057261626,2
6,14,15152,15096,8714,8717,0.00784066507558541,0.007802235842633369,2
7,14,32988,32850,25930,25994,0.004003965035600509,0.004069440628862069,2
8,14,83249,83284,56960,56840,0.0020815580130386633,0.002060148488801686,2
2,14,98,96,74,74,0.4570906162461712,0.4605425404318011,3
3,14,482,486,321,322,0.07847872974297977,0.07824175064542016,3
4,14,1845,1848,968,969,0.031084279082319352,0.03210977076501571,3
5,14,5185,5161,3003,3003,0.015682549808969486,0.01571499827727316,3
6,14,15153,15096,8714,8717,0.00784729526733904,0.007775187196534527,3
7,14,33164,32627,26087,25826,0.00401191119544039,0.004048762023438027,3
8,14,83213,83300,57032,56808,0.0020420760701427535,0.0020230970715923793,3
