N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,13,126,130,98,102,0.4229900550170674,0.3976533820437074,0
3,13,668,659,486,504,0.07201029122025229,0.07286273741008457,0
4,13,1605,1554,1136,1131,0.03288628721861628,0.03278357550037386,0
5,13,5283,5307,3403,3420,0.01613521804072854,0.016222293645249845,0
6,13,15221,14875,9247,9143,0.00794463228688836,0.007991440654927729,0
7,13,50549,49799,39818,39608,0.004016461396690298,0.004051533641937423,0
8,13,138466,136160,99253,98464,0.002035750518697093,0.002099990108239131,0
2,13,83,83,71,72,0.4312989409057122,0.4251701536251241,1
3,13,442,434,321,315,0.07637479130600008,0.07673036729500014,1
4,13,1628,1620,969,970,0.032142044496188044,0.03231221908204434,1
5,13,4966,4990,3004,3005,0.016175897873573687,0.016149179497400343,1
6,13,14322,14330,8717,8716,0.007958081411209916,0.007910881750727305,1
7,13,33193,33268,26534,26849,0.004023653105615093,0.004039659304221292,1
8,13,79391,79167,59813,59668,0.0021520328622145445,0.002123053103471902,1
2,13,96,95,74,73,0.46715191516214605,0.46614304630217285,2
3,13,482,486,321,322,0.0786476484367615,0.07879350082438474,2
4,13,1843,1848,969,969,0.03158708839140781,0.03214337222944758,2
5,13,5187,5161,3002,3003,0.015410227839681042,0.015663565533293688,2
6,13,15153,15096,8714,8716,0.00781312043223313,0.0077762988909155315,2
7,13,33071,33020,25997,26109,0.003989810732829016,0.0040470483013221314,2
8,13,83241,83272,56976,56864,0.002040580178827617,0.0020232415079681583,2
2,13,92,96,74,72,0.4705270175501139,0.45797606292819054,3
3,13,482,480,322,316,0.07917391381574956,0.07947182288572402,3
4,13,1843,1846,969,970,0.03150547265255722,0.03269339643455515,3
5,13,5185,5159,3003,3004,0.01573081233802477,0.016031783943888222,3
6,13,15153,15095,8714,8717,0.007778168033327123,0.007876873975634057,3
7,13,32874,33044,25852,26112,0.003953888511882804,0.004011198073648335,3
8,13,83233,83240,56992,56928,0.0020374489634020217,0.00206466962443365,3
