N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,32,123,127,95,100,0.4362633599293555,0.4051306270941944,0
3,32,680,650,502,499,0.07239761470085859,0.07464452622218415,0
4,32,1590,1560,1141,1144,0.03334832391212221,0.03302296331467482,0
5,32,5535,5343,3531,3603,0.016080907221611176,0.016172123111241634,0
6,32,15092,14677,9000,8913,0.007875388242570176,0.007943599805215409,0
7,32,50606,49823,39796,39510,0.004045891888236049,0.004044366444734226,0
8,32,138277,136172,98986,98226,0.0020838556477805895,0.002080287357439518,0
2,32,83,83,70,69,0.4286747589496379,0.44039543090171185,1
3,32,448,440,327,320,0.07570722883281407,0.07684221198340571,1
4,32,1628,1620,969,970,0.032122245315322595,0.03208047185370451,1
5,32,4966,4990,3004,3005,0.01623544292810836,0.01610229517971309,1
6,32,14322,14327,8715,8718,0.007936925066830795,0.007924522714137891,1
7,32,33235,33220,26636,26682,0.004035552924703542,0.0040234229133987555,1
8,32,79391,79167,59837,59704,0.0021539991832174414,0.0021262201315024615,1
2,32,96,98,74,72,0.47005656361075976,0.46698143073954823,2
3,32,482,486,322,322,0.07885457353044589,0.07831527028541937,2
4,32,1843,1846,969,970,0.03175749878427514,0.03271317632473196,2
5,32,5187,5159,3002,3004,0.01550875621024263,0.016084009224187738,2
6,32,15153,15095,8714,8717,0.007841412887551762,0.007823385231283841,2
7,32,33331,32799,26208,25911,0.003968665072215207,0.004051743516963505,2
8,32,83249,83242,56960,56924,0.002095944444046431,0.0020934515392515823,2
2,32,96,96,74,72,0.468332439866725,0.46260959091854403,3
3,32,482,486,322,321,0.07726851842897095,0.07762434128657167,3
4,32,1843,1848,969,969,0.03137671888925013,0.03211877267813111,3
5,32,5187,5159,3002,3004,0.015420959488372115,0.016044439898602367,3
6,32,15153,15096,8714,8717,0.007793394517104191,0.0078121504939540785,3
7,32,32886,32931,25851,26039,0.004053341765755985,0.003974650457103398,3
8,32,83257,83268,56944,56872,0.002071980766775491,0.0020398724955944317,3
