N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,7,126,124,99,96,0.4326367331888003,0.4299288929609416,0
3,7,680,662,521,508,0.07306789057235874,0.07307413249774644,0
4,7,1620,1581,1148,1147,0.032930604574140245,0.032396749468097265,0
5,7,5436,5337,3406,3348,0.016243265203627143,0.016068876083469706,0
6,7,15182,14854,9214,9210,0.007934372357056432,0.007923426775462875,0
7,7,50495,49973,39756,39741,0.004063707467502657,0.0040422727827891785,0
8,7,136711,136238,97759,98270,0.002107484964935922,0.0021830794430859205,0
2,7,83,83,71,70,0.4279190318266519,0.43282248148982366,1
3,7,442,440,321,320,0.0762479847746429,0.07660476727373314,1
4,7,1628,1620,969,970,0.032409287028741546,0.03213092962163963,1
5,7,4966,4990,3004,3005,0.016246340527295698,0.016031334384356527,1
6,7,14349,14330,8727,8719,0.007901688256057788,0.007915504414211082,1
7,7,33457,33286,26770,26803,0.004013936653886892,0.004033088259476002,1
8,7,79385,79167,59861,59629,0.0021464388099716883,0.00212163942658094,1
2,7,96,96,74,72,0.43722054262766913,0.4380674977040378,2
3,7,476,486,316,322,0.07901072248746543,0.07886838037989573,2
4,7,1843,1848,969,969,0.03162488600847947,0.031999455103314964,2
5,7,5187,5159,3002,3004,0.015375124541146383,0.016005117090255504,2
6,7,15154,15095,8714,8717,0.007836274710036562,0.00782799445461902,2
7,7,33156,32613,26037,25796,0.0040196997149118665,0.004026327082708976,2
8,7,83239,83260,56980,56888,0.002074959023586983,0.002051668592980292,2
2,7,96,94,74,74,0.4608387980595496,0.46331648943178727,3
3,7,482,480,322,316,0.07817971281685551,0.07937551888503729,3
4,7,1845,1846,968,970,0.03101112101727125,0.03259182543445038,3
5,7,5187,5159,3002,3004,0.015439093854306106,0.01603823653228851,3
6,7,15152,15096,8714,8717,0.007859868777650972,0.0077755321513429025,3
7,7,33212,33131,26091,26127,0.003993892707768677,0.004014824965543318,3
8,7,83221,83276,57016,56856,0.002068576958767099,0.0020355721222169833,3
