N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,11,123,124,95,97,0.44607008751652655,0.4214965332807783,0
3,11,668,671,524,539,0.07448819558351272,0.07282571517810571,0
4,11,1602,1536,1142,1137,0.033119372674138,0.032805179633428674,0
5,11,5373,5301,3393,3397,0.01619037934514591,0.016227495570335544,0
6,11,14924,14788,8998,8999,0.007971898593390467,0.007917185757247352,0
7,11,50519,49943,39774,39953,0.004026936094907118,0.0040048976648518475,0
8,11,137809,136412,98689,97815,0.0021065689442430393,0.002130472530726334,0
2,11,83,83,72,70,0.42423819490878867,0.44607037927400733,1
3,11,436,440,314,321,0.07737928330894114,0.07717044419025941,1
4,11,1628,1620,969,970,0.032247744125979055,0.03217242622241377,1
5,11,4966,4990,3004,3005,0.016152165272032927,0.016146758164545014,1
6,11,14322,14330,8715,8716,0.007922148464220754,0.0079110002940509,1
7,11,32737,32974,26081,26476,0.004012628729200052,0.004038706987058797,1
8,11,79385,79173,59825,59692,0.002146160743653838,0.0021226943535644326,1
2,11,94,97,74,73,0.4631021099154112,0.4589840147474522,2
3,11,482,486,322,322,0.07856282790145876,0.07860382560634346,2
4,11,1845,1846,968,970,0.031144793551510615,0.032661791596082485,2
5,11,5187,5159,3002,3004,0.015480001109709403,0.01601275468459152,2
6,11,15153,15096,8714,8716,0.007807552587706397,0.007798320873657459,2
7,11,33318,32817,26168,25924,0.004011771000634455,0.004001751088459789,2
8,11,83227,83294,57004,56820,0.0020807390829829043,0.0020652457464958125,2
2,11,96,98,74,72,0.4650493394378376,0.46553930529654197,3
3,11,488,486,327,322,0.07862710128929465,0.07850549897156726,3
4,11,1843,1848,969,969,0.03177104516126335,0.031921164662441666,3
5,11,5187,5161,3002,3003,0.015367689334920328,0.015755232915723436,3
6,11,15152,15096,8714,8717,0.00779875031566186,0.007827952382973145,3
7,11,33151,32620,26051,25829,0.004005284880614222,0.0040362881941947825,3
8,11,83251,83228,56956,56952,0.0020577510322940073,0.002032896886013741,3
