N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,22,123,127,95,101,0.4490775487394297,0.40986615120766984,0
3,22,677,662,493,514,0.07288493021373253,0.0734382851320736,0
4,22,1623,1572,1148,1132,0.03359891393673701,0.03246886870882004,0
5,22,5361,5241,3388,3505,0.016393081515172183,0.016230643740053615,0
6,22,15146,14800,9184,9080,0.007967142530820176,0.00795467182236669,0
7,22,50423,49943,39655,39598,0.004010018181888312,0.0040430119919774845,0
8,22,137344,136013,98720,98158,0.0021275560096262625,0.002065976666678666,0
2,22,83,83,71,70,0.4357154073428084,0.4454522626179973,1
3,22,448,440,326,319,0.07612759295708324,0.07666358139940187,1
4,22,1628,1620,969,970,0.032163442166452026,0.03218166325423473,1
5,22,4966,4990,3004,3005,0.01622627822054537,0.016117304296716983,1
6,22,14346,14351,8725,8728,0.007962056705330843,0.007884893986274228,1
7,22,33607,33328,26978,26904,0.0040280790468892515,0.004032023451640052,1
8,22,79385,79167,59765,59671,0.002144617941461088,0.0021162689631001874,1
2,22,96,97,74,73,0.47390861952099267,0.4751273331248047,2
3,22,482,486,321,322,0.07920848533058623,0.07830902301180251,2
4,22,1843,1848,969,969,0.0316352902900896,0.03195072802780548,2
5,22,5187,5161,3002,3003,0.015492733063281833,0.015737955784993075,2
6,22,15152,15096,8714,8716,0.007849572217442013,0.007804611588051881,2
7,22,33242,32817,26154,25922,0.003968267407324313,0.004009586526492033,2
8,22,83215,83310,57028,56788,0.002077194223530267,0.002044789890259482,2
2,22,96,96,74,74,0.473670303955035,0.4693776848557591,3
3,22,476,480,316,316,0.07934701727782617,0.07954730166210157,3
4,22,1843,1846,969,970,0.03166859457453276,0.03254523620546501,3
5,22,5187,5161,3002,3003,0.015320069319025895,0.01569991323372435,3
6,22,15154,15095,8714,8717,0.00777397781032658,0.007856050985652407,3
7,22,33287,32762,26143,25886,0.003943790311869165,0.004053729168011398,3
8,22,83259,83290,56940,56828,0.002043147452410625,0.0020652303564136732,3
