N_address_qubits,seed,transpiled_classic_size,transpiled_gray_size,transpiled_classic_depth,transpiled_gray_depth,fidelity_standard,fidelity_optimized,optimization_level
2,9,129,121,101,95,0.4028604137056865,0.43534619776812344,0
3,9,689,659,524,512,0.07317451616417571,0.07255065925552165,0
4,9,1596,1584,1140,1145,0.033359134796640204,0.033048693407141644,0
5,9,5493,5364,3622,3373,0.01644811716667518,0.016258725332620922,0
6,9,15074,14749,9094,9368,0.007956019305616045,0.007944020568397821,0
7,9,50648,49352,39814,39238,0.004042598593764371,0.004028063913798798,0
8,9,137050,136304,97976,98514,0.0021081239906156736,0.0021003644613342984,0
2,9,83,83,70,70,0.4375240581423617,0.4456917483454238,1
3,9,436,434,315,315,0.07733282101485159,0.0769853371242488,1
4,9,1628,1620,969,970,0.03255414518039101,0.03216014353529688,1
5,9,4966,4990,3004,3005,0.01620194380450129,0.01620313002317174,1
6,9,14346,14330,8727,8714,0.007929223628546502,0.007908647180113693,1
7,9,33991,34600,27243,28079,0.004026838621222072,0.004031170762880589,1
8,9,79391,79173,59852,59638,0.0021397384594271118,0.0021279391547769358,1
2,9,96,98,74,72,0.4704018660034364,0.4628856954954659,2
3,9,482,492,322,326,0.07847830423179564,0.07833287844990869,2
4,9,1845,1848,968,969,0.030939956795079503,0.031777225847344874,2
5,9,5185,5161,3003,3003,0.015777013769448994,0.015632120227502655,2
6,9,15152,15095,8714,8717,0.007855907044049842,0.007853908701357794,2
7,9,33288,32864,26169,25965,0.004006340842204045,0.0040292935839248535,2
8,9,83221,83282,57016,56844,0.0020635468488975493,0.0020277780327233206,2
2,9,96,97,74,73,0.47407414657445346,0.4748903897069251,3
3,9,482,480,321,316,0.07900714184076986,0.07963114725792936,3
4,9,1845,1848,968,969,0.031063642757582038,0.031810503452008226,3
5,9,5185,5161,3003,3003,0.015628932108237584,0.015652316265467724,3
6,9,15152,15095,8714,8717,0.007865479076271898,0.007822349811113016,3
7,9,33344,32741,26219,25902,0.004007033249285307,0.003988623301605177,3
8,9,83251,83256,56956,56896,0.0020611591490598065,0.002046121859936318,3
