run_id,N_address_qubits,seed,optimized_circuit_size,optimized_circuit_depth,optimized_circuit_gates,initialize_gate_size,initialize_gate_depth,initialize_gate_gates
17,3,16,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
17,4,16,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
17,5,16,3058,1996,"OrderedDict({'rz': 1481, 'cx': 1280, 'sx': 262, 'x': 35})",120,100,"OrderedDict({'rz': 49, 'sx': 40, 'cx': 26, 'reset': 5})"
17,6,16,6550,4940,"OrderedDict({'rz': 3147, 'cx': 2816, 'sx': 519, 'x': 68})",235,210,"OrderedDict({'rz': 98, 'sx': 74, 'cx': 57, 'reset': 6})"
17,7,16,25644,22930,"OrderedDict({'rz': 12191, 'cx': 10240, 'sx': 3080, 'x': 133})",461,431,"OrderedDict({'rz': 194, 'sx': 140, 'cx': 120, 'reset': 7})"
17,8,16,70985,58646,"OrderedDict({'rz': 33867, 'cx': 26624, 'sx': 10241, 'x': 253})",947,912,"OrderedDict({'rz': 404, 'sx': 288, 'cx': 247, 'reset': 8})"
17,9,16,164601,145002,"OrderedDict({'rz': 78081, 'cx': 61440, 'sx': 24578, 'x': 502})",2110,2069,"OrderedDict({'rz': 948, 'sx': 651, 'cx': 502, 'reset': 9})"
17,10,16,374029,324718,"OrderedDict({'rz': 176403, 'cx': 139264, 'sx': 57347, 'x': 1015})",4450,4404,"OrderedDict({'rz': 2035, 'sx': 1389, 'cx': 1013, 'reset': 10, 'x': 3})"
18,2,17,138,123,"OrderedDict({'rz': 52, 'sx': 50, 'cx': 32, 'x': 4})",15,10,"OrderedDict({'rz': 6, 'sx': 6, 'reset': 2, 'cx': 1})"
18,3,17,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
18,4,17,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
18,5,17,3058,1996,"OrderedDict({'rz': 1481, 'cx': 1280, 'sx': 262, 'x': 35})",120,100,"OrderedDict({'rz': 49, 'sx': 40, 'cx': 26, 'reset': 5})"
18,6,17,6550,4940,"OrderedDict({'rz': 3147, 'cx': 2816, 'sx': 519, 'x': 68})",235,210,"OrderedDict({'rz': 98, 'sx': 74, 'cx': 57, 'reset': 6})"
18,7,17,25643,22930,"OrderedDict({'rz': 12190, 'cx': 10240, 'sx': 3080, 'x': 133})",461,431,"OrderedDict({'rz': 194, 'sx': 140, 'cx': 120, 'reset': 7})"
18,8,17,70991,58649,"OrderedDict({'rz': 33865, 'cx': 26624, 'sx': 10249, 'x': 253})",973,939,"OrderedDict({'rz': 405, 'sx': 301, 'cx': 247, 'x': 12, 'reset': 8})"
18,9,17,164609,145005,"OrderedDict({'rz': 78081, 'cx': 61440, 'sx': 24586, 'x': 502})",1964,1923,"OrderedDict({'rz': 862, 'sx': 591, 'cx': 502, 'reset': 9})"
18,10,17,374053,324721,"OrderedDict({'rz': 176419, 'cx': 139264, 'sx': 57355, 'x': 1015})",5211,5163,"OrderedDict({'rz': 2495, 'sx': 1691, 'cx': 1013, 'reset': 10, 'x': 2})"
19,2,18,138,123,"OrderedDict({'rz': 52, 'sx': 50, 'cx': 32, 'x': 4})",15,10,"OrderedDict({'rz': 6, 'sx': 6, 'reset': 2, 'cx': 1})"
19,3,18,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
19,4,18,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
